image_1,image_2,label
P1-001_00005.png,P1-001_00010.png,0
P1-001_00005.png,P1-001_00195.png,0
P1-001_00005.png,P1-001_00221.png,0
P1-001_00010.png,P1-001_00195.png,0
P1-001_00010.png,P1-001_00221.png,0
P1-001_00195.png,P1-001_00221.png,0
P1-001_00005.png,P1-917_01674.png,1
P1-001_00010.png,P1-177_18520.png,1
P1-001_00195.png,P4-056_03340-0.png,1
P1-001_00221.png,P1-790_20920.png,1
P1-001_00005.png,P3-066_20032.png,1
P1-001_00010.png,P4-002_03940-1.png,1
P1-001_00195.png,P3-062_19000.png,1
P1-001_00221.png,P1-184_20600.png,1
P1-002_00265.png,P1-002_00280.png,0
P1-002_00265.png,P1-002_00442.png,0
P1-002_00265.png,P1-002_00455.png,0
P1-002_00280.png,P1-002_00442.png,0
P1-002_00280.png,P1-002_00455.png,0
P1-002_00442.png,P1-002_00455.png,0
P1-002_00265.png,P2-253_27050.png,1
P1-002_00280.png,P1-109_23370.png,1
P1-002_00442.png,P1-340_00100.png,1
P1-002_00455.png,P1-410_26220.png,1
P1-002_00265.png,P2-215_11660.png,1
P1-002_00280.png,P2-235_18050.png,1
P1-002_00442.png,P2-072_17675.png,1
P1-002_00455.png,P1-235_01375.png,1
P1-003_00325.png,P1-003_00403.png,0
P1-003_00325.png,P1-003_00484.png,0
P1-003_00325.png,P1-003_00506.png,0
P1-003_00403.png,P1-003_00484.png,0
P1-003_00403.png,P1-003_00506.png,0
P1-003_00484.png,P1-003_00506.png,0
P1-003_00325.png,P1-647_00580.png,1
P1-003_00403.png,P4-061_11524-0.png,1
P1-003_00484.png,P1-175_16984.png,1
P1-003_00506.png,P1-891_17220.png,1
P1-003_00325.png,P1-835_19920.png,1
P1-003_00403.png,P1-929_08551.png,1
P1-003_00484.png,P2-248_26360.png,1
P1-003_00506.png,P1-748_12645.png,1
P1-004_00704.png,P1-004_00715.png,0
P1-004_00704.png,P1-004_00936.png,0
P1-004_00704.png,P1-004_00962.png,0
P1-004_00715.png,P1-004_00936.png,0
P1-004_00715.png,P1-004_00962.png,0
P1-004_00936.png,P1-004_00962.png,0
P1-004_00704.png,P2-280_47350.png,1
P1-004_00715.png,P1-110_28110.png,1
P1-004_00936.png,P1-237_03042.png,1
P1-004_00962.png,P5-051_18176-0.png,1
P1-004_00704.png,P2-294_54750.png,1
P1-004_00715.png,P5-140_14530-0.png,1
P1-004_00936.png,P5-134_08610-0.png,1
P1-004_00962.png,P4-125_06270-1.png,1
P1-005_00858.png,P1-005_00884.png,0
P1-005_00858.png,P1-005_00946.png,0
P1-005_00858.png,P1-005_00957.png,0
P1-005_00884.png,P1-005_00946.png,0
P1-005_00884.png,P1-005_00957.png,0
P1-005_00946.png,P1-005_00957.png,0
P1-005_00858.png,P2-248_23900.png,1
P1-005_00884.png,P2-059_12200.png,1
P1-005_00946.png,P5-199_16430-0.png,1
P1-005_00957.png,P5-007_06859-0.png,1
P1-005_00858.png,P1-273_21030.png,1
P1-005_00884.png,P2-043_05236.png,1
P1-005_00946.png,P2-081_19100.png,1
P1-005_00957.png,P1-178_18880.png,1
P1-006_01056.png,P1-006_01089.png,0
P1-006_01056.png,P1-006_01313.png,0
P1-006_01056.png,P1-006_01326.png,0
P1-006_01089.png,P1-006_01313.png,0
P1-006_01089.png,P1-006_01326.png,0
