anchor,positif,negatif
P1-001_00005.png,P1-001_00010.png,P1-759_12720.png
P1-001_00005.png,P1-001_00195.png,P1-926_05880.png
P1-001_00005.png,P1-001_00221.png,P1-685_25432.png
P1-001_00010.png,P1-001_00195.png,P5-047_16321-0.png
P1-001_00010.png,P1-001_00221.png,P1-820_28430.png
P1-001_00195.png,P1-001_00221.png,P4-014_08200-0.png
P1-002_00265.png,P1-002_00280.png,P3-075_22680.png
P1-002_00265.png,P1-002_00442.png,P1-174_16800.png
P1-002_00265.png,P1-002_00455.png,P1-226_29040.png
P1-002_00280.png,P1-002_00442.png,P1-259_14001.png
P1-002_00280.png,P1-002_00455.png,P2-017_04435.png
P1-002_00442.png,P1-002_00455.png,P1-412_26380.png
P1-003_00325.png,P1-003_00403.png,P5-219_11960-0.png
P1-003_00325.png,P1-003_00484.png,P1-677_21369.png
P1-003_00325.png,P1-003_00506.png,P1-139_02860.png
P1-003_00403.png,P1-003_00484.png,P1-701_02055.png
P1-003_00403.png,P1-003_00506.png,P5-081_04424-0.png
P1-003_00484.png,P1-003_00506.png,P2-198_06400.png
P1-004_00704.png,P1-004_00715.png,P1-377_11440.png
P1-004_00704.png,P1-004_00936.png,P4-187_10700-0.png
P1-004_00704.png,P1-004_00962.png,P1-320_08522.png
P1-004_00715.png,P1-004_00936.png,P1-173_16840.png
P1-004_00715.png,P1-004_00962.png,P2-150_51221.png
P1-004_00936.png,P1-004_00962.png,P1-312_09234.png
P1-005_00858.png,P1-005_00884.png,P1-128_10690.png
P1-005_00858.png,P1-005_00946.png,P2-147_50728.png
P1-005_00858.png,P1-005_00957.png,P1-230_00200.png
P1-005_00884.png,P1-005_00946.png,P1-761_13560.png
P1-005_00884.png,P1-005_00957.png,P2-176_66792.png
P1-005_00946.png,P1-005_00957.png,P1-264_15820.png
P1-006_01056.png,P1-006_01089.png,P2-265_33050.png
P1-006_01056.png,P1-006_01313.png,P1-390_17240.png
P1-006_01056.png,P1-006_01326.png,P4-102_12840-0.png
P1-006_01089.png,P1-006_01313.png,P2-292_60620.png
P1-006_01089.png,P1-006_01326.png,P5-094_06640-0.png
P1-006_01313.png,P1-006_01326.png,P1-639_24380.png
P1-007_01133.png,P1-007_01144.png,P3-060_18280.png
P1-007_01133.png,P1-007_01326.png,P2-267_37980.png
P1-007_01133.png,P1-007_01352.png,P3-006_03440.png
P1-007_01144.png,P1-007_01326.png,P4-143_04480-0.png
P1-007_01144.png,P1-007_01352.png,P2-066_14975.png
P1-007_01326.png,P1-007_01352.png,P2-276_45250.png
P1-008_01419.png,P1-008_01441.png,P1-232_00460.png
P1-008_01419.png,P1-008_01573.png,P1-070_21554.png
P1-008_01419.png,P1-008_01599.png,P1-087_26741.png
P1-008_01441.png,P1-008_01573.png,P1-569_01220.png
P1-008_01441.png,P1-008_01599.png,P1-109_23175.png
P1-008_01573.png,P1-008_01599.png,P1-267_17620.png
P1-009_01474.png,P1-009_01518.png,P1-536_26320.png
P1-009_01474.png,P1-009_01599.png,P1-156_11220.png
P1-009_01474.png,P1-009_01625.png,P2-229_15500.png
P1-009_01518.png,P1-009_01599.png,P2-024_07623.png
P1-009_01518.png,P1-009_01625.png,P1-746_11180.png
P1-009_01599.png,P1-009_01625.png,P2-145_48841.png
P1-010_01738.png,P1-010_01771.png,P3-034_13760.png
P1-010_01738.png,P1-010_01898.png,P2-074_18275.png
P1-010_01738.png,P1-010_01937.png,P2-221_10900.png
P1-010_01771.png,P1-010_01898.png,P5-021_12992-1.png
P1-010_01771.png,P1-010_01937.png,P1-167_14124.png
P1-010_01898.png,P1-010_01937.png,P2-015_04435.png
P1-011_01820.png,P1-011_01898.png,P1-240_04880.png
P1-011_01820.png,P1-011_02002.png,P5-059_23066-2.png
P1-011_01820.png,P1-011_02046.png,P1-856_04820.png
P1-011_01898.png,P1-011_02002.png,P2-029_07854.png
P1-011_01898.png,P1-011_02046.png,P2-241_25660.png
P1-011_02002.png,P1-011_02046.png,P2-125_33860.png
P1-012_02132.png,P1-012_02145.png,P1-470_10400.png
P1-012_02132.png,P1-012_02255.png,P2-101_25512.png
P1-012_02132.png,P1-012_02266.png,P5-152_14630-0.png
P1-012_02145.png,P1-012_02255.png,P4-096_05680-0.png
P1-012_02145.png,P1-012_02266.png,P3-054_17616.png
P1-012_02255.png,P1-012_02266.png,P1-184_20610.png
P1-013_02343.png,P1-013_02354.png,P5-027_15664-2.png
P1-013_02343.png,P1-013_02509.png,P2-198_05300.png
P1-013_02343.png,P1-013_02535.png,P1-633_22180.png
P1-013_02354.png,P1-013_02509.png,P5-146_17290-0.png
P1-013_02354.png,P1-013_02535.png,P1-702_02325.png
P1-013_02509.png,P1-013_02535.png,P3-072_21424.png
P1-014_02695.png,P1-014_02728.png,P1-734_09405.png
P1-014_02695.png,P1-014_02977.png,P4-014_08016-0.png
P1-014_02695.png,P1-014_02990.png,P5-110_12160-0.png
P1-014_02728.png,P1-014_02977.png,P1-516_23800.png
P1-014_02728.png,P1-014_02990.png,P1-827_26400.png
P1-014_02977.png,P1-014_02990.png,P1-965_25024.png
P1-015_03157.png,P1-015_03168.png,P1-480_16000.png
P1-015_03157.png,P1-015_03328.png,P1-379_11380.png
P1-015_03157.png,P1-015_03354.png,P1-694_28152.png
P1-015_03168.png,P1-015_03328.png,P1-256_12340.png
P1-015_03168.png,P1-015_03354.png,P2-294_63020.png
P1-015_03328.png,P1-015_03354.png,P3-089_25248.png
P1-016_04238.png,P1-016_04264.png,P1-234_00818.png
P1-016_04238.png,P1-016_04488.png,P4-026_13014-0.png
P1-016_04238.png,P1-016_04499.png,P5-064_22800-1.png
P1-016_04264.png,P1-016_04488.png,P2-132_38260.png
P1-016_04264.png,P1-016_04499.png,P2-038_03264.png
P1-016_04488.png,P1-016_04499.png,P2-115_28440.png
P1-017_04290.png,P1-017_04342.png,P5-017_12065-1.png
P1-017_04290.png,P1-017_04587.png,P1-445_13160.png
P1-017_04290.png,P1-017_04598.png,P1-327_12440.png
P1-017_04342.png,P1-017_04587.png,P1-169_14300.png
P1-017_04342.png,P1-017_04598.png,P4-063_12236-1.png
P1-017_04587.png,P1-017_04598.png,P3-053_17600.png
P1-018_04602.png,P1-018_04615.png,P1-754_12690.png
P1-018_04602.png,P1-018_04796.png,P5-050_17670-2.png
P1-018_04602.png,P1-018_04818.png,P2-161_55704.png
P1-018_04615.png,P1-018_04796.png,P1-480_15800.png
